Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0372200034823000025;Электронный аукцион;Поставка бутилированной воды для нужд СПб ГБПОУ КСиПТ.;;'232780505901778050100100130021107244';;;339464.50;RUB;;;;;11.07.11.110: Воды минеральные природные упакованные;11.07.11.110-00000003: Вода минеральная природная питьевая упакованная;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";27.09.2023;09.10.2023;Определение поставщика завершено;"Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%; Учреждениям и предприятиям уголовно-исполнительной системы (в соответствии со статьей 28             Федерального закона № 44-ФЗ) - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";27.09.2023;05.10.2023;
44-ФЗ;№0124200000623006594;Электронный аукцион;Поставка спецодежды;;'232290201625029020100100070010000244';;;245471.03;RUB;;;;;"14.12.30.130: Юбки, халаты, блузки, фартуки, жилеты, платья и сорочки производственные и профессиональные; 15.20.31.000: Обувь с защитным металлическим подноском; 15.20.11.113: Сапоги резиновые; 14.12.30.190: Одежда производственная и профессиональная прочая, не включенная в другие группировки; 15.20.13.110: Обувь повседневная с верхом из кожи; 13.92.14.120: Белье кухонное; 15.20.11.112: Галоши резиновые";"15.20.11.113-00000014: Сапоги резиновые формовые; 15.20.31.000-00000014: Обувь с защитным металлическим подноском";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ТЕХНИКУМ СУДОСТРОЕНИЯ И МАШИНОСТРОЕНИЯ""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;28.09.2023;09.10.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;28.09.2023;06.10.2023;
44-ФЗ;№0124200000623006407;Электронный аукцион;Поставка сварочных аппаратов;;'232290201543229020100100100012790244';;;2800000.00;RUB;;;;;27.90.31.110: Машины и оборудование электрические для пайки мягким и твердым припоем и сварки;27.90.31.110-00000008: Сварочный аппарат;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""СЕВЕРОДВИНСКИЙ ТЕХНИКУМ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;25.09.2023;05.10.2023;Определение поставщика завершено;;25.09.2023;04.10.2023;
44-ФЗ;№0372200034823000024;Электронный аукцион;Поставка программно-аппаратных комплексов, рабочих станций и многофункциональных устройств  для нужд СПБ ГБПОУ КСиПТ в 2023г.;;'232780505901778050100100350050000244';;;7076970.50;RUB;;;;;"26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений; 26.20.15.160: Программно-аппаратные комплексы, созданные на машинах вычислительных электронных цифровых; 26.20.15.150: Автоматизированное рабочее место";"26.20.18.000-00000069: Многофункциональное устройство (МФУ); 26.20.18.000-00000068: Многофункциональное устройство (МФУ)";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";21.09.2023;25.09.2023;Определение поставщика отменено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;21.09.2023;29.09.2023;
44-ФЗ;№0372200034823000023;Запрос котировок в электронной форме;Поставка ученических столов.;;'232780505901778050100100350040000244';;;119100.00;RUB;;;;;31.01.12.122: Столы ученические деревянные для учебных заведений, включая школьные парты;31.01.12.122-00000004: Стол ученический;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";13.09.2023;22.09.2023;Определение поставщика завершено;"Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";13.09.2023;20.09.2023;
223-ФЗ;№32312764267;Прочие;Услуги по организации участия Заказчика в качестве соэкспонента в Международной выставке и Конференции по гражданскому судостроению, судоходству, деятельности портов и освоению океана и шельфа «Нева 2023», застройке и художественному  оформлению выставочного павильона;;;1;Услуги по организации участия Заказчика в качестве соэкспонента в Международной выставке и Конференции по гражданскому судостроению, судоходству, деятельности портов и освоению океана и шельфа «Нева 2023», застройке и художественному  оформлению выставочного павильона;1200000.00;RUB;;;;;82.30.12.000: Услуги по организации торговых выставок;82.30.12.000: Услуги по организации торговых выставок;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ РДС""";;14.09.2023;14.09.2023;Закупка завершена;;14.09.2023;;
223-ФЗ;№32312760902;Прочие;Услуги по участию СПб МТА им. адмирала Д.Н. Сенявина в Международной выставке и Конференции по гражданскому судостроению, судоходству, деятельности портов и освоению океана и шельфа «НЕВА 2023»;;;1;Услуги по участию СПб МТА им. адмирала Д.Н. Сенявина в Международной выставке и Конференции по гражданскому судостроению, судоходству, деятельности портов и освоению океана и шельфа «НЕВА 2023»;393775.20;RUB;;;;;82.30.11.000: Услуги по организации конференций;82.30.11.000: Услуги по организации конференций;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ ТЕХНИЧЕСКАЯ АКАДЕМИЯ ИМЕНИ АДМИРАЛА Д.Н. СЕНЯВИНА""";;13.09.2023;13.09.2023;Закупка завершена;;13.09.2023;13.09.2023;
44-ФЗ;№0372200034823000022;Электронный аукцион;Поставка программно-аппаратных комплексов, рабочих станций и многофункциональных устройств  для нужд СПБ ГБПОУ КСиПТ в 2023г.;;'232780505901778050100100350020000244';;;7076970.50;RUB;;;;;"26.20.15.160: Программно-аппаратные комплексы, созданные на машинах вычислительных электронных цифровых; 26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений; 26.20.15.150: Автоматизированное рабочее место";"26.20.18.000-00000069: Многофункциональное устройство (МФУ); 26.20.18.000-00000068: Многофункциональное устройство (МФУ)";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";31.08.2023;12.09.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;31.08.2023;08.09.2023;
44-ФЗ;№0372200034823000021;Электронный аукцион;Оказание услуг по проведению периодического медицинского осмотра сотрудников и оформлению личных медицинских книжек для нужд СПБ ГБПОУ КСиПТ в 2023г.;;'232780505901778050100100060010000244';;;404767.50;RUB;;;;;"86.90.19.190: Услуги в области медицины прочие, не включенные в другие группировки; 86.90.15.000: Услуги медицинских лабораторий";"86.90.19.190: Услуги в области медицины прочие, не включенные в другие группировки; 86.90.15.000: Услуги медицинских лабораторий";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";11.08.2023;07.09.2023;Определение поставщика завершено;Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%;11.08.2023;21.08.2023;
44-ФЗ;№0372200034823000020;Электронный аукцион;Поставка металлорежущего и ручного инструмента в 2023г.;;'232780505901778050100100370010000244';;;994532.45;RUB;;;;;"25.73.40.160: Фрезы; 25.73.30.223: Струбцины; 25.73.30.220: Инструмент для крепления обрабатываемых деталей и изделий; 25.73.40.260: Полотна ножовочные; 25.73.30.210: Рубанки, долота, стамески и аналогичные режущие инструменты для обработки древесины; 25.73.30.299: Инструмент слесарно-монтажный прочий, не включенный в другие группировки; 25.73.30.244: Рейсмасы; 25.73.30.141: Молотки; 25.73.30.242: Кернеры; 28.49.2: Оправки для крепления инструмента; 25.73.4: Инструменты рабочие сменные для станков или для ручного инструмента (с механическим приводом или без него)";"25.73.40.160-00000002: Фреза; 25.73.40.000-00000003: Токарные резцы; 28.49.20.000-00000001: Оправки для крепления инструмента; 25.73.30.210-00000005: Рубанок ручной; 25.73.30.223-00000012: Струбцина";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";04.08.2023;16.08.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;04.08.2023;14.08.2023;
44-ФЗ;№0372200034823000019;Открытый конкурс в электронной форме;Поставка мебели с целью модернизации образовательного-производственного центра на базе колледжа.;;'232780505901778050100100320010000244';;;988541.50;RUB;;;;;"31.01.1: Мебель для офисов и предприятий торговли; 31.01.12.190: Мебель офисная деревянная прочая; 31.01.11.110: Столы офисные металлические; 31.01.11.122: Шкафы архивные металлические; 31.01.12.150: Тумбы офисные деревянные; 31.01.12.139: Шкафы деревянные прочие; 31.01.12.122: Столы ученические деревянные для учебных заведений, включая школьные парты; 31.01.11.150: Мебель для сидения, преимущественно с металлическим каркасом; 31.01.12.160: Мебель для сидения, преимущественно с деревянным каркасом";"31.01.10.000-00000007: Стеллаж офисный; 31.01.12.160-00000005: Кресло офисное; 31.01.11.150-00000001: Стул на металлическом каркасе; 31.01.11.150-00000021: Стул ученический; 31.01.12.122-00000004: Стол ученический; 31.01.12.139-00000001: Шкаф деревянный для документов; 31.01.12.150-00000002: Тумба офисная деревянная; 31.01.11.122-00000001: Шкаф архивный металлический; 31.01.10.000-00000005: Стол письменный";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";26.07.2023;15.08.2023;Определение поставщика завершено;"Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";;11.08.2023;
44-ФЗ;№0372200034823000018;Открытый конкурс в электронной форме;Поставка стеллажей.;;'232780505901778050100100350010000244';;;612549.00;RUB;;;;;31.09.11.120: Стеллажи, стойки, вешалки металлические;31.09.11.120: Стеллажи, стойки, вешалки металлические;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";28.06.2023;17.07.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;14.07.2023;
