Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0373100119818000001;Открытый конкурс;"""Обстановочный теплоход""строительство обстановочного судна  класса  "" М3.0 (лед 30) А"" проект №3265";;'181770723151077070100100090013011414';;;299 800 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";11.05.2018;09.06.2018;Определение поставщика завершено;;10.05.2018;01.06.2018;
44-ФЗ;№0157300006920000113;Электронный аукцион;"""Поставка пассажирских водометных катеров""";;'203601800539260270100100930013011244';;;42 500 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ ПСКОВСКОГО РАЙОНА;АДМИНИСТРАЦИЯ ПСКОВСКОГО РАЙОНА;10.12.2020;21.12.2020;Определение поставщика завершено;;10.12.2020;18.12.2020;
44-ФЗ;№0373100119614000012;Открытый конкурс;"""Строительство многофункционального буксира-спасателя мощностью 2.5-3 МВт""";;;;;8 000 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";09.07.2014;01.09.2014;Определение поставщика завершено;;05.08.2014;21.08.2014;
223-ФЗ;№31502160820;Прочие;(СЗбф 119-15) по выбору организации на выполнение работ по проектированию и строительству 3 (Трёх) гидрографических катеров для Усть-Лужского. Калининградского управлений и группы контроля глубин в Северо-Западном бассейновом филиале ФГУП «Росморпорт»;;;1;выполнение работ по проектированию и строительству 3 (Трёх) гидрографических катеров для Усть-Лужского. Калининградского управлений и группы контроля глубин в Северо-Западном бассейновом филиале ФГУП «Росморпорт».;68 000 000,00;RUB;;;;;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;23.03.2015;23.03.2015;Закупка завершена;;23.03.2015;10.04.2015;
223-ФЗ;№31401611052;Прочие;(СЗбф 173-14) Выполнение работ по проектированию и строительству 3 (Трёх) гидрографических катеров для Усть-Лужского. Калининградского управлений и группы контроля глубин в Северо-Западном бассейновом филиале ФГУП «Росморпорт». ;;;1;Выполнение работ по проектированию и строительству 3 (Трёх) гидрографических катеров для Усть-Лужского. Калининградского управлений и группы контроля глубин в Северо-Западном бассейновом филиале ФГУП «Росморпорт». ;45 000 000,00;RUB;;;;;;;"Федеральное государственное унитарное предприятие ""Росморпорт""";;17.10.2014;17.10.2014;Закупка завершена;;17.10.2014;06.11.2014;
44-ФЗ;№0373100119820000004;Открытый конкурс в электронной форме;«Обновление обслуживающего флота (строительство и приобретение)» Обстановочное судно проекта 3050.1А класса РРР «? Р1.2(лед 20)А» ;;'201770723151077070100100040013011414';;;1 135 100 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.07.2020;13.08.2020;Определение поставщика завершено;;15.07.2020;06.08.2020;
44-ФЗ;№0173100012516000001;Электронный аукцион;"1–2016АЭ Катер для доставки специальных подразделений к месту проведения операции ""Альянс-8.5"".";;;;;53 410 000,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;13.01.2016;10.02.2016;Определение поставщика завершено;;13.01.2016;04.02.2016;
44-ФЗ;№0373100038714000284;Электронный аукцион;14-252э Закупка судна на воздушной подушке со съемными медицинским и пожарным модулями для нужд МЧС России;;;;;45 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";"федеральное казенное учреждение ""Центр обеспечения деятельности федеральной противопожарной службы Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны. чрезвычайным ситуациям и ликвидации последствий стихийных бедствий""";26.09.2014;22.10.2014;Определение поставщика завершено;;06.10.2014;22.10.2014;
44-ФЗ;№0173100012516000140;Электронный аукцион;153-2016АЭ Катера (моторные лодки) с транспортировочными прицепами.;;;;;35 450 000,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;21.03.2016;13.04.2016;Определение поставщика завершено;;21.03.2016;08.04.2016;
44-ФЗ;№0173100012516000156;Электронный аукцион;"174-2016АЭ Катер для доставки специальных подразделений к месту проведения операции ""Альянс-8.5"".";;;;;57650728.35;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;25.03.2016;20.04.2016;Определение поставщика завершено;;25.03.2016;14.04.2016;
44-ФЗ;№0173100012516000058;Электронный аукцион;47-2016АЭ Катера (моторные лодки) с транспортировочными прицепами.;;;;;35 450 000,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;12.02.2016;16.03.2016;Определение поставщика завершено;;12.02.2016;10.03.2016;
44-ФЗ;№0173100012516000002;Электронный аукцион;7-2016АЭ Катера с транспортировочными трейлерами.;;;;;95574191.44;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;25.01.2016;17.02.2016;Определение поставщика завершено;;25.01.2016;11.02.2016;
44-ФЗ;№0173100012516000065;Электронный аукцион;72-2016АЭ Катера (моторные лодки) с транспортировочными трейлерами.;;;;;93703449.26;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;16.02.2016;11.03.2016;Определение поставщика завершено;;16.02.2016;03.03.2016;
44-ФЗ;№0173100012516000008;Электронный аукцион;8-2016АЭ Катера (мотолодки) с транспортировочными трейлерами.;;;;;167 870 829,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;27.01.2016;11.03.2016;Определение поставщика завершено;;27.01.2016;03.03.2016;
44-ФЗ;№0173100012516000029;Электронный аукцион;9-2016АЭ Моторные лодки с транспортировочными прицепами.;;;;;148556673.76;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;02.02.2016;02.03.2016;Определение поставщика завершено;;02.02.2016;25.02.2016;
44-ФЗ;№0373100038715000099;Электронный аукцион;№ 15-98э закупка судна на воздушной подушке для нужд МЧС России;;;;;18 882 400,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ. ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ""";27.02.2015;30.03.2015;Определение поставщика завершено;;13.03.2015;30.03.2015;
44-ФЗ;№0146200002016001057;Электронный аукцион;№ 16 - ЭА 1 - 1094: плавсредства для проведения спасательных работ;;;;;2269596.67;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";УПРАВЛЕНИЕ ПО РАЗМЕЩЕНИЮ ГОСЗАКАЗА ЛИПЕЦКОЙ ОБЛАСТИ;07.06.2016;28.07.2016;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);07.06.2016;15.06.2016;
44-ФЗ;№0146200002016000199;Электронный аукцион;№ 16 - ЭА 2 - 187: катер для проведения спасательных работ;;;;;925 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";УПРАВЛЕНИЕ ПО РАЗМЕЩЕНИЮ ГОСЗАКАЗА ЛИПЕЦКОЙ ОБЛАСТИ;25.02.2016;23.03.2016;Определение поставщика завершено;Субъектам малого предпринимательства и социально ориентированным некоммерческим организациям (в соответствии со статьей 30 Федерального закона № 44-ФЗ);25.02.2016;10.03.2016;
44-ФЗ;№0146200002018001692;Электронный аукцион;№ 18 - ЭА 1 - 1617: продукция судостроительной промышленности для обеспечения государственных нужд;;'182482607473348260100103090010000000';;;2859666.67;RUB;;;;;"30.11.21.120: Суда речные пассажирские; 29.20.23.110: Прицепы (полуприцепы) к легковым и грузовым автомобилям. мотоциклам. мотороллерам и квадрициклам";"30.11.21.120: Суда речные пассажирские; 29.20.23.110: Прицепы (полуприцепы) к легковым и грузовым автомобилям. мотоциклам. мотороллерам и квадрициклам";"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";УПРАВЛЕНИЕ ПО РАЗМЕЩЕНИЮ ГОСЗАКАЗА ЛИПЕЦКОЙ ОБЛАСТИ;25.09.2018;12.10.2018;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;25.09.2018;04.10.2018;
44-ФЗ;№0813500000119003386;Электронный аукцион;№ зз-10060-19 Приобретение аэролодки-маломерного судна;;'193183303824018410100100250013011000';;;1 103 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА ГОРОДА ИЖЕВСКА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""";25.04.2019;09.05.2019;Определение поставщика завершено;;25.04.2019;08.05.2019;
44-ФЗ;№0813500000119002850;Электронный аукцион;№ зз-10060-19 Приобретение аэролодки-маломерного судна;;'193183303824018410100100250013011000';;;1 103 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА ГОРОДА ИЖЕВСКА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""";11.04.2019;24.04.2019;Определение поставщика завершено;;11.04.2019;22.04.2019;
44-ФЗ;№0813500000119014497;Электронный аукцион;№ зз-34535-19 Поставка аэролодки-маломерного судна;;'192183203349718320100100780013011000';;;1 100 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""ПОИСКОВО-СПАСАТЕЛЬНАЯ СЛУЖБА УДМУРТСКОЙ РЕСПУБЛИКИ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""";31.10.2019;08.11.2019;Определение поставщика завершено;;31.10.2019;08.11.2019;
44-ФЗ;№0119200000118001793;Электронный аукцион;№ ЭА 2206/18 «Поставка судна на воздушной подушке для нужд КГКУ «Спасатель» субъектами малого предпринимательства. социально ориентированными некоммерческими организациями»;;'182246613629724600100100900243011244';;;6 306 000,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СПАСАТЕЛЬ""";АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;03.04.2018;27.04.2018;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;03.04.2018;19.04.2018;
44-ФЗ;№0146200002016001740;Электронный аукцион;№16 - ЭА2 - 1619: катер для спасательных работ с оборудованием и принадлежностями и прицеп для его перевозки;;;;;1 521 290,00;RUB;;;;;"29.20.23.190: Прицепы и полуприцепы прочие. не включенные в другие группировки; 30.11.21.120: Суда речные пассажирские";"29.20.23.190: Прицепы и полуприцепы прочие. не включенные в другие группировки; 30.11.21.120: Суда речные пассажирские";"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";УПРАВЛЕНИЕ ПО РАЗМЕЩЕНИЮ ГОСЗАКАЗА ЛИПЕЦКОЙ ОБЛАСТИ;21.10.2016;03.11.2016;Определение поставщика завершено;;21.10.2016;02.11.2016;
44-ФЗ;№0346200016119000172;Электронный аукцион;№19-ЭА-161: Продукция судостроительной промышленности для обеспечения государственных нужд;;'192482607473348260100105720010000000';;;2 930 000,00;RUB;;;;;"29.20.23.110: Прицепы (полуприцепы) к легковым и грузовым автомобилям. мотоциклам. мотороллерам и квадрициклам; 30.11.21.120: Суда речные пассажирские";"29.20.23.110: Прицепы (полуприцепы) к легковым и грузовым автомобилям. мотоциклам. мотороллерам и квадрициклам; 30.11.21.120: Суда речные пассажирские";"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";"ГОСУДАРСТВЕННОЕ (ОБЛАСТНОЕ) БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СПАСАТЕЛЬНОЙ СЛУЖБЫ ЛИПЕЦКОЙ ОБЛАСТИ""";28.06.2019;15.07.2019;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;28.06.2019;08.07.2019;
